accident_id	ST_CASE	VE_TOTAL	VE_FORMS	PEDS	PERSONS	COUNTY	county_name	CITY	city_name	DAY	MONTH	YEAR	HOUR	MINUTE	NHS	FUNC_SYS	func_sys_lit	ROAD_FNC	road_fnc_lit	RD_OWNER	rd_owner_lit	TWAY_ID	TWAY_ID2	LATITUDE	LONGITUD	SP_JUR	sp_jur_lit	HARM_EV	harm_ev_lit	MAN_COLL	man_coll_lit	RELJCT1	RELJCT2	TYP_INT	WRK_ZONE	REL_ROAD	LGT_COND	lgt_cond_lit	WEATHER	weather_lit	SCH_BUS	CF1	CF2	CF3	cf1_lit	cf2_lit	cf3_lit	FATALS	A_INTER	a_inter_lit	A_ROADFC	a_road_fc_lit	A_TOD	a_tod_lit	A_DOW	a_dow_lit	A_LT	a_lt_lit	A_SPCRA	a_spcra_lit	A_PED	a_ped_lit	A_PED_F	a_ped_f_lit	A_PEDAL	a_pedal_lit	A_PEDAL_F	a_pedal_f_lit	A_POLPUR	a_polour_lit	A_POSBAC	a_posbac_lit	A_DIST	a_dist_lit	A_DROWSY	a_drowsy_lit	INDIAN_RES	indian_res_lit
2012040011	40011	1	1	0	1	13	MARICOPA	370	PHOENIX	7	1	2012	23	49	1		.	12	Urban-Principal Arterial-Other Freeways or Expressways		.	SR-101 RAMP		33.668925000	-112.112625000	0	No Special Jurisdiction	25	Concrete Traffic Barrier	0	Not a Collision with Motor Vehicle In-Transport	1	5	1	0	4	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	2	Freeway and expressway, principal arterial	2	Nighttime	2	Weekend	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040012	40012	2	2	0	2	13	MARICOPA	80	CHANDLER	9	1	2012	9	52	0		.	13	Urban-Other Principal Arterial		.	PRICE RD	CURRY ST	33.354252780	-111.893863890	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	1	Front-to-Rear	0	3	3	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	1	Daytime	1	Weekday	1	Large Truck Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040013	40013	1	1	0	2	13	MARICOPA	290	MESA	9	1	2012	15	10	0		.	14	Urban-Minor Arterial		.	GUADALUPE RD	EXTENSION RD	33.364233330	-111.851497220	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	2	2	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040014	40014	1	1	1	1	9	GRAHAM	0	NONE LISTED	9	1	2012	20	11	0		.	3	Rural-Minor Arterial		.	US-191		32.816458330	-109.707630560	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	1	2	Dark - Not Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040015	40015	1	1	0	3	25	YAVAPAI	0	NONE LISTED	10	1	2012	13	53	1		.	1	Rural-Principal Arterial-Interstate		.	I-40		35.235483330	-113.210227780	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	3	1	Daylight	1	Clear	No	0	0	0	None	None	None	2	1	Interstate	1	Interstate, principal arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040016	40016	1	1	0	1	13	MARICOPA	0	NONE LISTED	10	1	2012	16	52	0		.	13	Urban-Other Principal Arterial		.	MC 85		33.370316670	-112.608286110	0	No Special Jurisdiction	42	Tree (Standing Only)	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040017	40017	2	2	0	2	21	PINAL	0	NONE LISTED	11	1	2012	6	20	0		.	3	Rural-Minor Arterial		.	US-60		33.280875000	-111.158388890	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	1	Front-to-Rear	0	1	1	0	1	2	Dark - Not Lighted	10	Cloudy	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040018	40018	1	1	1	1	13	MARICOPA	370	PHOENIX	11	1	2012	22	16	0		.	15	Urban-Collector		.	27TH AVE	MISSOURI AVE	33.516900000	-112.116952780	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	3	2	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040019	40019	1	1	2	1	9	GRAHAM	410	SAFFORD	12	1	2012	18	49	0		.	13	Urban-Other Principal Arterial		.	US-70	14TH AVE	32.834872220	-109.724741670	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	3	2	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040020	40020	2	2	0	5	13	MARICOPA	80	CHANDLER	15	1	2012	11	23	0		.	15	Urban-Collector		.	RIGGS RD	COOPER RD	33.218950000	-111.806561110	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	6	Angle	0	2	2	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	1	Daytime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	1	Involving a Distracted Driver	2	Other Crash	0	Not Tribal Lands
2012040021	40021	2	2	0	3	5	COCONINO	0	NONE LISTED	14	1	2012	15	28	1		.	1	Rural-Principal Arterial-Interstate		.	I-40		35.221783330	-112.317491670	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	1	Front-to-Rear	0	1	1	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	1	Daytime	2	Weekend	1	Large Truck Involved Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	1	Involving a Distracted Driver	2	Other Crash	0	Not Tribal Lands
2012040022	40022	2	2	0	3	15	MOHAVE	0	NONE LISTED	15	1	2012	13	43	0		.	3	Rural-Minor Arterial		.	SR-68	ESTRELLA RD	35.225463890	-114.289080560	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	6	Angle	0	2	2	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	1	Involving a Distracted Driver	2	Other Crash	0	Not Tribal Lands
2012040023	40023	3	3	0	5	13	MARICOPA	290	MESA	15	1	2012	19	29	0		.	14	Urban-Minor Arterial		.	BROWN RD	GREENFIELD RD	33.437222220	-111.736363890	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	6	Angle	0	2	2	0	1	3	Dark - Lighted	10	Cloudy	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	2	Nighttime	2	Weekend	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040024	40024	1	1	0	1	13	MARICOPA	368	PEORIA	16	1	2012	2	12	1		.	12	Urban-Principal Arterial-Other Freeways or Expressways		.	SR-101 RAMP		33.550275000	-112.265900000	0	No Special Jurisdiction	41	Shrubbery	0	Not a Collision with Motor Vehicle In-Transport	1	5	1	0	4	3	Dark - Lighted	2	Rain	No	0	0	0	None	None	None	1	2	Non-Interstate	2	Freeway and expressway, principal arterial	2	Nighttime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040025	40025	1	1	1	1	19	PIMA	530	TUCSON	17	1	2012	22	24	1		.	11	Urban-Principal Arterial-Interstate		.	I-10		32.176252780	-110.942327780	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	1	18	1	0	1	2	Dark - Not Lighted	1	Clear	No	19	0	0	Recent/Previous Crash scene Nearby	None	None	1	1	Interstate	1	Interstate, principal arterial	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040026	40026	1	1	0	1	15	MOHAVE	0	NONE LISTED	18	1	2012	15	44	1		.	2	Rural-Principal Arterial-Other		.	US-93		35.417358330	-114.274413890	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	3	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	1	Daytime	1	Weekday	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040027	40027	3	3	0	6	19	PIMA	0	NONE LISTED	19	1	2012	17	33	0		.	4	Rural-Major Collector		.	PICTURE ROCKS RD		32.325680560	-111.121138890	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	8	Sideswipe - Opposite Direction	0	1	1	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	1	Daytime	1	Weekday	1	Large Truck Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040028	40028	1	1	0	1	15	MOHAVE	0	NONE LISTED	20	1	2012	99	99	1		.	1	Rural-Principal Arterial-Interstate		.	I-15		36.931536110	-113.827658330	0	No Special Jurisdiction	25	Concrete Traffic Barrier	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	5	5	Dusk	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	3	Unknown	3	Unknown	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040029	40029	1	1	0	1	13	MARICOPA	370	PHOENIX	20	1	2012	15	30	1		.	12	Urban-Principal Arterial-Other Freeways or Expressways		.	SR-51		33.554191670	-112.037727780	0	No Special Jurisdiction	38	Fence	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	5	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	2	Freeway and expressway, principal arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040030	40030	1	1	0	2	21	PINAL	22	APACHE JUNCTION	21	1	2012	9	37	1		.	12	Urban-Principal Arterial-Other Freeways or Expressways		.	US-60 RAMP		33.386155560	-111.526794440	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	1	5	1	0	4	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	2	Freeway and expressway, principal arterial	1	Daytime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040031	40031	1	1	0	1	17	NAVAJO	0	NONE LISTED	21	1	2012	15	46	1		.	2	Rural-Principal Arterial-Other		.	SR-260		34.367102780	-110.687575000	0	No Special Jurisdiction	42	Tree (Standing Only)	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	1	Daylight	6	Severe Crosswinds	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	1	Daytime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040032	40032	1	1	1	1	13	MARICOPA	290	MESA	21	1	2012	23	9	0		.	13	Urban-Other Principal Arterial		.	ALMA SCHOOL RD	GUADALUPE RD	33.364233330	-111.859119440	0	No Special Jurisdiction	9	Pedalcyclist	0	Not a Collision with Motor Vehicle In-Transport	0	3	2	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	3	Principal arterial, other	2	Nighttime	2	Weekend	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Pedalcyclist Involved Crash	1	Involving a pedacyclist fatality	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040033	40033	3	3	0	5	21	PINAL	0	NONE LISTED	22	1	2012	16	54	1		.	1	Rural-Principal Arterial-Interstate		.	I-10		32.598491670	-111.344305560	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	8	Sideswipe - Opposite Direction	0	1	1	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	1	Daytime	2	Weekend	1	Large Truck Involved Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040034	40034	3	3	0	3	13	MARICOPA	370	PHOENIX	23	1	2012	4	17	1		.	11	Urban-Principal Arterial-Interstate		.	I-17		33.709052780	-112.116777780	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	99	Unknown	1	5	1	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	2	Nighttime	2	Weekend	1	Large Truck Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040035	40035	1	1	0	2	5	COCONINO	0	NONE LISTED	24	1	2012	15	56	1		.	1	Rural-Principal Arterial-Interstate		.	I-40		35.110055560	-111.030455560	0	No Special Jurisdiction	21	Bridge Pier or Support	0	Not a Collision with Motor Vehicle In-Transport	1	18	1	0	5	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	1	Daytime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	1	Involving a Distracted Driver	1	Involving a Drowsy Driver	0	Not Tribal Lands
2012040036	40036	1	1	0	2	15	MOHAVE	0	NONE LISTED	25	1	2012	13	40	1		.	1	Rural-Principal Arterial-Interstate		.	I-40		34.840155560	-114.145319440	0	No Special Jurisdiction	1	Rollover/Overturn	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	4	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	1	Interstate	1	Interstate, principal arterial	1	Daytime	1	Weekday	1	Large Truck Involved Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	1	Involving a Distracted Driver	2	Other Crash	0	Not Tribal Lands
2012040037	40037	4	4	0	8	7	GILA	365	PAYSON	27	1	2012	12	47	0		.	14	Urban-Minor Arterial		.	SR-87	MALIBU DR	34.244838890	-111.322808330	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	7	Sideswipe - Same Direction	0	3	2	0	1	1	Daylight	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	1	Daytime	1	Weekday	2	Other Crash	1	Speeding Involved Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040038	40038	1	1	1	3	17	NAVAJO	0	NONE LISTED	29	1	2012	4	45	0		.	4	Rural-Major Collector		.	BOURDON RANCH RD		34.315547220	-109.954241670	0	No Special Jurisdiction	8	Pedestrian	0	Not a Collision with Motor Vehicle In-Transport	0	1	1	0	1	2	Dark - Not Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	5	Collector	2	Nighttime	2	Weekend	2	Other Crash	2	Other Crash	1	Pedestrian Involved Crash	1	Involving a pedestrian fatality	2	Other Crash	2	Other Crash	2	Other Crash	3	Unknown BAC Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040039	40039	2	2	0	2	13	MARICOPA	200	GLENDALE	3	1	2012	18	37	0		.	14	Urban-Minor Arterial		.	75TH AVE	MISSOURI AVE	33.516266670	-112.220463890	0	No Special Jurisdiction	12	Motor Vehicle In-Transport	99	Unknown	0	2	2	0	1	3	Dark - Lighted	1	Clear	No	0	0	0	None	None	None	1	2	Non-Interstate	4	Minor arterial	2	Nighttime	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	All Drivers With ZERO BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
2012040040	40040	1	1	0	1	17	NAVAJO	0	NONE LISTED	3	1	2012	99	99	0		.	16	Urban-Local Road or Street		.	TEXAS LN		34.399830560	-109.899838890	0	No Special Jurisdiction	42	Tree (Standing Only)	0	Not a Collision with Motor Vehicle In-Transport	0	8	1	0	6	3	Dark - Lighted	1	Clear	No	18	0	0	Date of Crash and Date of EMS Notification were no	None	None	1	2	Non-Interstate	6	Local	3	Unknown	1	Weekday	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	2	Other Crash	1	Driver With Positive BAC Testing Crash	2	Other Crash	2	Other Crash	0	Not Tribal Lands
